"rep_id","n","Delta","ps","dissimilarity","F_unadj","p_unadj","F_pool","p_pool","F_ipw","p_ipw"
1,40,0.2,0.2,"UniFrac",0.796839624701248,0.839,1.88799129189991,0.001,NA,NA
1,40,0.2,0.2,"GUniFrac",0.754343733602326,0.815,2.19552569473116,0.001,NA,NA
1,40,0.2,0.2,"weighted UniFrac",0.694261603946955,0.829,2.74197364318669,0.001,NA,NA
1,40,0.2,0.2,"GLaD",0.637608077309333,0.803,3.95210890568646,0.001,NA,NA
1,40,0.2,0.2,"Bray-Curtis",0.75369084588673,0.819,2.15587691806451,0.001,NA,NA
1,40,0.2,0.2,"Aitchison",0.776414031124397,0.839,1.80857587381096,0.001,NA,NA
1,40,0.2,0.2,"Jaccard",0.843300823127958,0.802,1.70798046888644,0.001,NA,NA
1,40,0.2,2,"UniFrac",2.2240751085748,0.001,2.10604917332227,0.001,NA,NA
1,40,0.2,2,"GUniFrac",2.61254681248711,0.001,2.46028791940157,0.001,NA,NA
1,40,0.2,2,"weighted UniFrac",3.28918795480102,0.001,3.0590096073237,0.001,NA,NA
1,40,0.2,2,"GLaD",6.65387321823704,0.001,6.65615260692924,0.001,NA,NA
1,40,0.2,2,"Bray-Curtis",2.58638100714334,0.001,2.44769063325452,0.001,NA,NA
1,40,0.2,2,"Aitchison",2.28321804332787,0.001,2.07228138992991,0.001,NA,NA
1,40,0.2,2,"Jaccard",1.97485373686937,0.001,1.88381405194111,0.001,NA,NA
1,40,0.25,0.2,"UniFrac",1.04210259868537,0.354,2.10879554191379,0.001,NA,NA
1,40,0.25,0.2,"GUniFrac",1.06369660613927,0.37,2.49843974894517,0.001,NA,NA
1,40,0.25,0.2,"weighted UniFrac",1.05716178929577,0.388,3.21472760158435,0.001,NA,NA
1,40,0.25,0.2,"GLaD",1.01933020617269,0.407,6.26722908661089,0.001,NA,NA
1,40,0.25,0.2,"Bray-Curtis",1.06916418694759,0.366,2.46657571383797,0.001,NA,NA
1,40,0.25,0.2,"Aitchison",1.02011702627402,0.431,2.03210727094077,0.001,NA,NA
1,40,0.25,0.2,"Jaccard",1.00402574907885,0.457,1.86044744418927,0.001,NA,NA
1,40,0.25,2,"UniFrac",2.42718464034073,0.002,2.51082700248865,0.001,NA,NA
1,40,0.25,2,"GUniFrac",2.88000176214364,0.001,3.00432297852682,0.001,NA,NA
1,40,0.25,2,"weighted UniFrac",3.18176987776107,0.001,3.75287374956057,0.001,NA,NA
1,40,0.25,2,"GLaD",4.94607896231701,0.001,6.53207611442079,0.001,NA,NA
1,40,0.25,2,"Bray-Curtis",2.81943831923518,0.001,2.96266966472345,0.001,NA,NA
1,40,0.25,2,"Aitchison",2.50853705831019,0.001,2.51707603130988,0.001,NA,NA
1,40,0.25,2,"Jaccard",2.15435936440881,0.001,2.22777566922405,0.001,NA,NA
1,40,0.3,0.2,"UniFrac",0.951385964405843,0.528,2.18728485309339,0.001,NA,NA
1,40,0.3,0.2,"GUniFrac",0.932926942601987,0.548,2.59351986335982,0.001,NA,NA
1,40,0.3,0.2,"weighted UniFrac",0.985128131293191,0.467,3.11859780664493,0.001,NA,NA
1,40,0.3,0.2,"GLaD",1.2903815071558,0.226,5.31522988220266,0.001,NA,NA
1,40,0.3,0.2,"Bray-Curtis",0.963411851325422,0.501,2.56489432390529,0.001,NA,NA
1,40,0.3,0.2,"Aitchison",0.954915696638658,0.541,2.17739132709686,0.001,NA,NA
1,40,0.3,0.2,"Jaccard",0.98117762825172,0.497,1.95086051731838,0.001,NA,NA
1,40,0.3,2,"UniFrac",2.11359489769075,0.001,2.45089707887165,0.001,NA,NA
1,40,0.3,2,"GUniFrac",2.4554180611147,0.002,2.93684540067779,0.001,NA,NA
1,40,0.3,2,"weighted UniFrac",2.74262419431855,0.003,3.45644610958821,0.001,NA,NA
1,40,0.3,2,"GLaD",4.2215220393675,0.001,5.60739642321871,0.001,NA,NA
1,40,0.3,2,"Bray-Curtis",2.37903005938875,0.002,2.84390888434131,0.001,NA,NA
1,40,0.3,2,"Aitchison",2.09018025642599,0.003,2.40379163406868,0.001,NA,NA
1,40,0.3,2,"Jaccard",1.86608441965853,0.002,2.12685244651232,0.001,NA,NA
1,40,0.35,0.2,"UniFrac",1.53549991351387,0.025,1.96292843556551,0.001,NA,NA
1,40,0.35,0.2,"GUniFrac",1.61339736518744,0.023,2.31035984971634,0.001,NA,NA
1,40,0.35,0.2,"weighted UniFrac",0.95680422234286,0.302,2.01007621992637,0.055,NA,NA
1,40,0.35,0.2,"GLaD",2.50216091414782,0.011,5.31330337644518,0.001,NA,NA
1,40,0.35,0.2,"Bray-Curtis",1.57070637058417,0.025,2.07329878163914,0.001,NA,NA
1,40,0.35,0.2,"Aitchison",1.47992231885973,0.033,1.79028960925707,0.002,NA,NA
1,40,0.35,0.2,"Jaccard",1.37681722833701,0.028,1.67994198937745,0.001,NA,NA
1,40,0.35,2,"UniFrac",2.39604162058396,0.001,2.50124037130195,0.001,NA,NA
1,40,0.35,2,"GUniFrac",2.85321571044857,0.001,3.00402597919879,0.001,NA,NA
1,40,0.35,2,"weighted UniFrac",2.926325756871,0.01,3.52152595070316,0.001,NA,NA
1,40,0.35,2,"GLaD",6.5901948697507,0.001,6.56884936615485,0.001,NA,NA
1,40,0.35,2,"Bray-Curtis",2.77187976933969,0.001,2.88142865388758,0.001,NA,NA
1,40,0.35,2,"Aitchison",2.55546315272398,0.001,2.45333067555814,0.001,NA,NA
1,40,0.35,2,"Jaccard",2.08946599456769,0.001,2.16536956217221,0.001,NA,NA
1,40,0.4,0.2,"UniFrac",1.02406444383374,0.393,1.65475942130276,0.004,NA,NA
1,40,0.4,0.2,"GUniFrac",1.03886584916643,0.364,1.87478665219647,0.002,NA,NA
1,40,0.4,0.2,"weighted UniFrac",1.02765209058223,0.367,2.61565759553315,0.001,NA,NA
1,40,0.4,0.2,"GLaD",1.11744064406911,0.307,2.95107961843291,0.002,NA,NA
1,40,0.4,0.2,"Bray-Curtis",1.02798118212988,0.383,1.91658535596379,0.001,NA,NA
1,40,0.4,0.2,"Aitchison",1.0045012435747,0.428,1.60343948041104,0.006,NA,NA
1,40,0.4,0.2,"Jaccard",1.0114258869585,0.408,1.55321681337377,0.001,NA,NA
1,40,0.4,2,"UniFrac",2.56984581367844,0.002,2.34849937280224,0.001,NA,NA
1,40,0.4,2,"GUniFrac",2.7831708648746,0.001,2.9344719853839,0.001,NA,NA
1,40,0.4,2,"weighted UniFrac",1.36877918571656,0.101,3.17760409464985,0.012,NA,NA
1,40,0.4,2,"GLaD",3.28251903875577,0.001,3.06006972330379,0.001,NA,NA
1,40,0.4,2,"Bray-Curtis",2.79387450003844,0.001,2.51192346711393,0.001,NA,NA
1,40,0.4,2,"Aitchison",2.61001173185446,0.001,2.1828915291987,0.001,NA,NA
1,40,0.4,2,"Jaccard",2.1343436409299,0.001,1.96527176128468,0.001,NA,NA
1,40,0.45,0.2,"UniFrac",1.24490246058442,0.118,1.66720668965187,0.004,NA,NA
1,40,0.45,0.2,"GUniFrac",1.29358375286517,0.143,1.85403925419137,0.005,NA,NA
1,40,0.45,0.2,"weighted UniFrac",1.3424016532458,0.147,2.15575741355887,0.004,NA,NA
1,40,0.45,0.2,"GLaD",1.30255398586336,0.201,3.01314163632141,0.003,NA,NA
1,40,0.45,0.2,"Bray-Curtis",1.27208515690719,0.156,1.84187624631916,0.005,NA,NA
1,40,0.45,0.2,"Aitchison",1.1622393776817,0.234,1.53260149916957,0.014,NA,NA
1,40,0.45,0.2,"Jaccard",1.17057375169751,0.18,1.53537259139898,0.005,NA,NA
1,40,0.45,2,"UniFrac",2.27928166231076,0.002,2.27173779222118,0.001,NA,NA
1,40,0.45,2,"GUniFrac",1.96534030079066,0.089,2.23455162557417,0.001,NA,NA
1,40,0.45,2,"weighted UniFrac",1.19547332999158,0.164,1.8353301842642,0.151,NA,NA
1,40,0.45,2,"GLaD",4.05228990299601,0.001,4.85404393733001,0.001,NA,NA
1,40,0.45,2,"Bray-Curtis",2.3542518338086,0.001,2.41656991328423,0.001,NA,NA
1,40,0.45,2,"Aitchison",2.15569849695597,0.001,2.14824536786857,0.001,NA,NA
1,40,0.45,2,"Jaccard",1.86943907929431,0.001,1.89352737976956,0.001,NA,NA
1,40,0.5,0.2,"UniFrac",0.654939690394756,0.958,1.60310232774493,0.011,NA,NA
1,40,0.5,0.2,"GUniFrac",0.593166339609631,0.944,1.64378473062262,0.018,NA,NA
1,40,0.5,0.2,"weighted UniFrac",0.538102859844121,0.964,1.72530125388289,0.028,NA,NA
1,40,0.5,0.2,"GLaD",0.498505377073208,0.851,2.98792609296412,0.001,NA,NA
1,40,0.5,0.2,"Bray-Curtis",0.581995849108066,0.958,1.8018010191684,0.003,NA,NA
1,40,0.5,0.2,"Aitchison",0.650311609166525,0.947,1.58779847169501,0.012,NA,NA
1,40,0.5,0.2,"Jaccard",0.705192693604142,0.961,1.50994269030662,0.003,NA,NA
1,40,0.5,2,"UniFrac",2.50691004396868,0.001,2.30648003655602,0.001,NA,NA
1,40,0.5,2,"GUniFrac",3.01020399942752,0.001,2.7322135653192,0.001,NA,NA
1,40,0.5,2,"weighted UniFrac",3.88940757901698,0.001,3.44918214082155,0.001,NA,NA
1,40,0.5,2,"GLaD",8.66871047900358,0.001,7.41135810686335,0.001,NA,NA
1,40,0.5,2,"Bray-Curtis",2.92738991265274,0.001,2.6697429859755,0.001,NA,NA
1,40,0.5,2,"Aitchison",2.61279285919737,0.001,2.28596141687049,0.001,NA,NA
1,40,0.5,2,"Jaccard",2.22225264988827,0.001,2.08064632674266,0.001,NA,NA
1,60,0,0.2,"UniFrac",1.32756472707098,0.077,2.833243536077,0.001,NA,NA
1,60,0,0.2,"GUniFrac",1.42166631086078,0.077,3.6626364288159,0.001,NA,NA
1,60,0,0.2,"weighted UniFrac",1.28248774664407,0.279,5.58844583260288,0.001,NA,NA
1,60,0,0.2,"GLaD",1.36245470542319,0.186,10.9152397645172,0.001,NA,NA
1,60,0,0.2,"Bray-Curtis",1.45772403161273,0.058,3.35894695691891,0.001,NA,NA
1,60,0,0.2,"Aitchison",1.34857307888996,0.085,2.63264069073953,0.001,NA,NA
1,60,0,0.2,"Jaccard",1.28342986584666,0.076,2.47381909587075,0.001,NA,NA
1,60,0,2,"UniFrac",3.5766095687021,0.001,4.37496811667922,0.001,NA,NA
1,60,0,2,"GUniFrac",4.38809694273197,0.001,5.56678725847892,0.001,NA,NA
1,60,0,2,"weighted UniFrac",4.98027003198677,0.001,7.01039160459232,0.001,NA,NA
1,60,0,2,"GLaD",7.5253503438281,0.001,14.0084609878566,0.001,NA,NA
1,60,0,2,"Bray-Curtis",4.27310292612484,0.001,5.51166893098603,0.001,NA,NA
1,60,0,2,"Aitchison",3.73944549639191,0.001,4.50795304042098,0.001,NA,NA
1,60,0,2,"Jaccard",3.03830226180982,0.001,3.69655876262734,0.001,NA,NA
1,60,0.05,0.2,"UniFrac",0.996300917744939,0.453,2.22517346447223,0.001,NA,NA
1,60,0.05,0.2,"GUniFrac",1.02075525596,0.439,2.72161638670325,0.001,NA,NA
1,60,0.05,0.2,"weighted UniFrac",1.08051200979717,0.374,3.9663901511696,0.001,NA,NA
1,60,0.05,0.2,"GLaD",1.03466521847466,0.403,4.35860206599934,0.001,NA,NA
1,60,0.05,0.2,"Bray-Curtis",1.03597254856651,0.414,2.63610726692911,0.001,NA,NA
1,60,0.05,0.2,"Aitchison",1.00819106603521,0.459,2.06742261165195,0.001,NA,NA
1,60,0.05,0.2,"Jaccard",0.995822924788155,0.477,2.00773503565124,0.001,NA,NA
1,60,0.05,2,"UniFrac",1.7236293818966,0.008,2.17027238634842,0.001,NA,NA
1,60,0.05,2,"GUniFrac",1.92463509534659,0.003,2.51478989861259,0.001,NA,NA
1,60,0.05,2,"weighted UniFrac",2.3709299702253,0.003,3.33930917790263,0.001,NA,NA
1,60,0.05,2,"GLaD",3.9004663661058,0.001,6.62239861519974,0.001,NA,NA
1,60,0.05,2,"Bray-Curtis",1.89616737087136,0.004,2.47987144229607,0.001,NA,NA
1,60,0.05,2,"Aitchison",1.67980420967126,0.004,2.05098819121714,0.001,NA,NA
1,60,0.05,2,"Jaccard",1.57681474450781,0.004,1.94751487319105,0.001,NA,NA
1,60,0.1,0.2,"UniFrac",1.35489441725608,0.07,2.55730821808022,0.001,NA,NA
1,60,0.1,0.2,"GUniFrac",1.50080899189438,0.053,3.08479824824965,0.001,NA,NA
1,60,0.1,0.2,"weighted UniFrac",1.81661812835247,0.011,4.15709323945951,0.001,NA,NA
1,60,0.1,0.2,"GLaD",1.95332657107495,0.044,8.24020113954385,0.001,NA,NA
1,60,0.1,0.2,"Bray-Curtis",1.44960843250104,0.066,3.0489094748035,0.001,NA,NA
1,60,0.1,0.2,"Aitchison",1.34488528392766,0.082,2.44107397605004,0.001,NA,NA
1,60,0.1,0.2,"Jaccard",1.27128302346079,0.08,2.26461115154635,0.001,NA,NA
1,60,0.1,2,"UniFrac",2.79053377818342,0.001,2.99023405974781,0.001,NA,NA
1,60,0.1,2,"GUniFrac",3.38183359641807,0.001,3.72414106796627,0.001,NA,NA
1,60,0.1,2,"weighted UniFrac",2.80802604893283,0.001,3.81502778555723,0.001,NA,NA
1,60,0.1,2,"GLaD",7.32103359063265,0.001,8.90642324512199,0.001,NA,NA
1,60,0.1,2,"Bray-Curtis",3.33655738405201,0.001,3.64641776713887,0.001,NA,NA
1,60,0.1,2,"Aitchison",2.86982313971535,0.001,3.01384917100093,0.001,NA,NA
1,60,0.1,2,"Jaccard",2.45434431745055,0.001,2.62732623815329,0.001,NA,NA
1,60,0.15,0.2,"UniFrac",1.22314042771524,0.155,2.39445789647019,0.001,NA,NA
1,60,0.15,0.2,"GUniFrac",1.25400123537407,0.174,2.77404399708079,0.001,NA,NA
1,60,0.15,0.2,"weighted UniFrac",1.242742371485,0.219,3.56903176095559,0.001,NA,NA
1,60,0.15,0.2,"GLaD",1.11133079122917,0.349,5.61461479232211,0.001,NA,NA
1,60,0.15,0.2,"Bray-Curtis",1.28782757461743,0.147,2.8189910679318,0.001,NA,NA
1,60,0.15,0.2,"Aitchison",1.224308138052,0.171,2.26230849701379,0.001,NA,NA
1,60,0.15,0.2,"Jaccard",1.20620942764752,0.146,2.18969198172627,0.001,NA,NA
1,60,0.15,2,"UniFrac",3.26991595980223,0.001,3.32859174799429,0.001,NA,NA
1,60,0.15,2,"GUniFrac",3.90613026536637,0.001,3.99877670618118,0.001,NA,NA
1,60,0.15,2,"weighted UniFrac",5.00236459684957,0.001,5.13546532610168,0.001,NA,NA
1,60,0.15,2,"GLaD",10.2866897438957,0.001,9.62268770109889,0.001,NA,NA
1,60,0.15,2,"Bray-Curtis",3.88833114923399,0.001,3.99912423784941,0.001,NA,NA
1,60,0.15,2,"Aitchison",3.40982369767758,0.001,3.32408559342235,0.001,NA,NA
1,60,0.15,2,"Jaccard",2.84173247203408,0.001,2.88948919602312,0.001,NA,NA
1,60,0.2,0.2,"UniFrac",1.13112431298486,0.241,2.85314592923414,0.001,NA,NA
1,60,0.2,0.2,"GUniFrac",1.21273711859401,0.206,3.48905771707167,0.001,NA,NA
1,60,0.2,0.2,"weighted UniFrac",1.33663174641017,0.146,4.07785997848375,0.001,NA,NA
1,60,0.2,0.2,"GLaD",1.3436289034384,0.192,8.83521381742474,0.001,NA,NA
1,60,0.2,0.2,"Bray-Curtis",1.19186830814107,0.212,3.37879233649946,0.001,NA,NA
1,60,0.2,0.2,"Aitchison",1.10097806076846,0.297,2.73094195805602,0.001,NA,NA
1,60,0.2,0.2,"Jaccard",1.08891683791241,0.274,2.45915055049963,0.001,NA,NA
1,60,0.2,2,"UniFrac",3.39225223032472,0.001,3.52729357946669,0.001,NA,NA
1,60,0.2,2,"GUniFrac",4.00682122659379,0.001,4.16984683969514,0.001,NA,NA
1,60,0.2,2,"weighted UniFrac",1.80772928973154,0.183,2.78560172187927,0.029,NA,NA
1,60,0.2,2,"GLaD",8.4580747648091,0.001,10.8485558343341,0.001,NA,NA
1,60,0.2,2,"Bray-Curtis",3.96009045429697,0.001,4.17203413093555,0.001,NA,NA
1,60,0.2,2,"Aitchison",3.40275605646522,0.001,3.42567399744045,0.001,NA,NA
1,60,0.2,2,"Jaccard",2.86494544505774,0.001,2.97170268476096,0.001,NA,NA
1,60,0.25,0.2,"UniFrac",1.54180574962109,0.049,3.19865299525963,0.001,NA,NA
1,60,0.25,0.2,"GUniFrac",1.36122664259763,0.143,3.25382391356233,0.001,NA,NA
1,60,0.25,0.2,"weighted UniFrac",0.677217427724431,0.828,1.97169045180767,0.035,NA,NA
1,60,0.25,0.2,"GLaD",1.68343625314942,0.145,9.24490038060175,0.001,NA,NA
1,60,0.25,0.2,"Bray-Curtis",1.54301052455803,0.073,3.63827505599261,0.001,NA,NA
1,60,0.25,0.2,"Aitchison",1.47681886448939,0.075,3.04122887141073,0.001,NA,NA
1,60,0.25,0.2,"Jaccard",1.34832828476335,0.083,2.59643055573027,0.001,NA,NA
1,60,0.25,2,"UniFrac",2.04206975631732,0.001,2.70494860224108,0.001,NA,NA
1,60,0.25,2,"GUniFrac",2.37298445539146,0.001,3.41681275260834,0.001,NA,NA
1,60,0.25,2,"weighted UniFrac",2.02286812895693,0.103,4.18188308045297,0.001,NA,NA
1,60,0.25,2,"GLaD",4.44052399516092,0.001,8.60810466265251,0.001,NA,NA
1,60,0.25,2,"Bray-Curtis",2.41154565517918,0.001,3.29901752439724,0.001,NA,NA
1,60,0.25,2,"Aitchison",2.09556208198428,0.001,2.68033357434562,0.001,NA,NA
1,60,0.25,2,"Jaccard",1.87019637748866,0.001,2.40770661300261,0.001,NA,NA
1,60,0.3,0.2,"UniFrac",1.57198514888529,0.016,2.67788801752942,0.001,NA,NA
1,60,0.3,0.2,"GUniFrac",1.71776560487835,0.017,3.16563640391433,0.001,NA,NA
1,60,0.3,0.2,"weighted UniFrac",1.95284582892163,0.01,4.08109673383799,0.001,NA,NA
1,60,0.3,0.2,"GLaD",3.01398343103623,0.008,8.7394881502137,0.001,NA,NA
1,60,0.3,0.2,"Bray-Curtis",1.71616855679102,0.016,3.1831273953224,0.001,NA,NA
1,60,0.3,0.2,"Aitchison",1.5811560017913,0.023,2.60515579975073,0.001,NA,NA
1,60,0.3,0.2,"Jaccard",1.4448977112289,0.024,2.37258968179249,0.001,NA,NA
1,60,0.3,2,"UniFrac",2.3014803015039,0.001,2.41998695543965,0.001,NA,NA
1,60,0.3,2,"GUniFrac",2.69792659788283,0.001,3.04708859452565,0.001,NA,NA
1,60,0.3,2,"weighted UniFrac",2.5030827229328,0.005,4.33148247731939,0.001,NA,NA
1,60,0.3,2,"GLaD",6.04974957072846,0.001,9.58709074104867,0.001,NA,NA
1,60,0.3,2,"Bray-Curtis",2.72506045132372,0.001,2.91873149555779,0.001,NA,NA
1,60,0.3,2,"Aitchison",2.37017072662631,0.001,2.3018253132969,0.001,NA,NA
1,60,0.3,2,"Jaccard",2.09203247221728,0.001,2.18828834031212,0.001,NA,NA
1,60,0.35,0.2,"UniFrac",1.58174364947783,0.019,2.53639214194377,0.001,NA,NA
1,60,0.35,0.2,"GUniFrac",1.73546004796137,0.024,3.0063724467848,0.001,NA,NA
1,60,0.35,0.2,"weighted UniFrac",2.01120829727379,0.02,3.98463571172622,0.001,NA,NA
1,60,0.35,0.2,"GLaD",2.81487485587641,0.008,9.28279556685923,0.001,NA,NA
1,60,0.35,0.2,"Bray-Curtis",1.71745809614295,0.026,3.00807367656431,0.001,NA,NA
1,60,0.35,0.2,"Aitchison",1.64061395598497,0.024,2.41563756826415,0.001,NA,NA
1,60,0.35,0.2,"Jaccard",1.47242912377897,0.024,2.27740426740677,0.001,NA,NA
1,60,0.35,2,"UniFrac",3.87172358698903,0.001,3.48155886906645,0.001,NA,NA
1,60,0.35,2,"GUniFrac",4.85150840133577,0.001,4.33728538947412,0.001,NA,NA
1,60,0.35,2,"weighted UniFrac",4.75707392364739,0.001,5.16662759687919,0.001,NA,NA
1,60,0.35,2,"GLaD",8.14224334619587,0.001,7.40660079138893,0.001,NA,NA
1,60,0.35,2,"Bray-Curtis",4.61248033907116,0.001,4.1476484866834,0.001,NA,NA
1,60,0.35,2,"Aitchison",4.1077256426185,0.001,3.48766983094344,0.001,NA,NA
1,60,0.35,2,"Jaccard",3.28982240117357,0.001,3.00038866272603,0.001,NA,NA
1,60,0.4,0.2,"UniFrac",1.76498796941692,0.007,2.81404527459416,0.001,NA,NA
1,60,0.4,0.2,"GUniFrac",1.93613725278169,0.011,3.43949425767565,0.001,NA,NA
1,60,0.4,0.2,"weighted UniFrac",1.70956953030293,0.08,4.39488056244185,0.001,NA,NA
1,60,0.4,0.2,"GLaD",2.48846453394121,0.013,5.11040844677073,0.001,NA,NA
1,60,0.4,0.2,"Bray-Curtis",1.95690782355673,0.008,3.32102250508106,0.001,NA,NA
1,60,0.4,0.2,"Aitchison",1.76385737853476,0.013,2.69380914071238,0.001,NA,NA
1,60,0.4,0.2,"Jaccard",1.62699046867526,0.008,2.46123942108705,0.001,NA,NA
1,60,0.4,2,"UniFrac",3.41002699473307,0.001,3.03030935933866,0.001,NA,NA
1,60,0.4,2,"GUniFrac",4.03498939874505,0.001,3.76237467762016,0.001,NA,NA
1,60,0.4,2,"weighted UniFrac",1.83878891884708,0.043,2.71282423601631,0.003,NA,NA
1,60,0.4,2,"GLaD",9.4020033242739,0.001,8.01721104184164,0.001,NA,NA
1,60,0.4,2,"Bray-Curtis",4.054171698861,0.001,3.59513930847665,0.001,NA,NA
1,60,0.4,2,"Aitchison",3.56466923799041,0.001,3.0402364418051,0.001,NA,NA
1,60,0.4,2,"Jaccard",2.88099282749675,0.001,2.57967841063332,0.001,NA,NA
1,60,0.45,0.2,"UniFrac",1.56322174253447,0.012,2.62935644279596,0.001,NA,NA
1,60,0.45,0.2,"GUniFrac",1.68166532800204,0.016,3.15907341816522,0.001,NA,NA
1,60,0.45,0.2,"weighted UniFrac",1.83707957077063,0.011,3.87703872982879,0.001,NA,NA
1,60,0.45,0.2,"GLaD",2.48147991238567,0.013,8.32138294069801,0.001,NA,NA
1,60,0.45,0.2,"Bray-Curtis",1.69147724346959,0.012,3.16522292940863,0.001,NA,NA
