rep_id,n,Delta,ps,dissimilarity,F_unadj,p_unadj,F_pool,p_pool,F_ipw,p_ipw
1,40,0,0.2,UniFrac,0.874799423469708,0.634,2.97109223381262,0.001,0.022952739054173,0.478
1,40,0,0.2,GUniFrac,0.8487020381575,0.587,4.11264005773972,0.001,0.0222422770827103,0.424
1,40,0,0.2,weighted UniFrac,0.734356579067597,0.909,5.52260052008901,0.001,0.0194107459581011,0.658
1,40,0,0.2,GLaD,0.561405576138268,0.732,8.19424484132262,0.001,0.0146020059124322,0.606
1,40,0,0.2,Bray-Curtis,0.816930130278563,0.676,3.9454719189678,0.001,0.0214054475881676,0.491
1,40,0,0.2,Aitchison,0.863506401040629,0.696,2.60350253921467,0.001,0.0226518782798255,0.552
1,40,0,0.2,Jaccard,0.879584704293267,0.711,2.54238887664774,0.001,0.0230963648718784,0.557
1,40,0,2,UniFrac,4.43356350165028,0.001,3.61698905039115,0.001,0.0353174210512974,0.022
1,40,0,2,GUniFrac,6.21274057531604,0.001,5.15000519180921,0.001,0.0408189766703682,0.016
1,40,0,2,weighted UniFrac,6.65055948026535,0.001,7.27819278138706,0.001,0.0442027369367705,0.027
1,40,0,2,GLaD,20.7608062399799,0.001,34.092791813966,0.001,0.0942463908769338,0.001
1,40,0,2,Bray-Curtis,5.59662129403999,0.001,4.65114247226146,0.001,0.0393853623940243,0.018
1,40,0,2,Aitchison,3.83734588683238,0.001,3.07296613033258,0.001,0.0342847967378028,0.025
1,40,0,2,Jaccard,3.44102048438973,0.001,2.88349077119975,0.001,0.0330299418509607,0.026
1,40,0.05,0.2,UniFrac,1.10744882836554,0.224,3.43738420676939,0.001,0.0274911612566722,0.162
1,40,0.05,0.2,GUniFrac,1.14074948708446,0.252,4.75288010445018,0.001,0.0274169374063292,0.155
1,40,0.05,0.2,weighted UniFrac,1.16122066601539,0.264,7.88223553006495,0.001,0.0270138152128671,0.137
1,40,0.05,0.2,GLaD,1.07706604861364,0.32,41.0851776731815,0.001,0.0190241546483921,0.075
1,40,0.05,0.2,Bray-Curtis,1.16414791436421,0.242,4.64295474292005,0.001,0.0284946586279627,0.141
1,40,0.05,0.2,Aitchison,1.12011343309485,0.233,3.03172956798315,0.001,0.0280288005258927,0.149
1,40,0.05,0.2,Jaccard,1.10764707172562,0.235,2.87042448501124,0.001,0.0283220045070988,0.13
1,40,0.05,2,UniFrac,3.57043545397072,0.001,3.36610065061804,0.001,0.0277253083364525,0.181
1,40,0.05,2,GUniFrac,4.76534151694919,0.001,4.58415854894352,0.001,0.0278770257392057,0.171
1,40,0.05,2,weighted UniFrac,7.62826907389228,0.001,7.48203696089103,0.001,0.0327646214146493,0.076
1,40,0.05,2,GLaD,13.813869524863,0.001,21.4199382315765,0.001,0.0246184663422702,0.101
1,40,0.05,2,Bray-Curtis,4.53268661176582,0.001,4.38183230358764,0.001,0.0281161873467068,0.189
1,40,0.05,2,Aitchison,3.23240390996388,0.001,2.97706409173143,0.001,0.0282024272665591,0.165
1,40,0.05,2,Jaccard,2.9310467608676,0.001,2.78537298699062,0.001,0.0277330471355072,0.182
1,40,0.1,0.2,UniFrac,1.30478959550067,0.112,2.53430938108949,0.001,0.0286051284943028,0.167
1,40,0.1,0.2,GUniFrac,1.43277894217527,0.103,3.25655404696292,0.001,0.0295657158527178,0.168
1,40,0.1,0.2,weighted UniFrac,1.51371243924653,0.053,4.65781367043023,0.001,0.0282582041852682,0.204
1,40,0.1,0.2,GLaD,3.3969460781348,0.022,13.8264018894393,0.001,0.0523488630071518,0.015
1,40,0.1,0.2,Bray-Curtis,1.48711370634607,0.087,3.34936162968464,0.001,0.030774534192236,0.134
1,40,0.1,0.2,Aitchison,1.28801987229887,0.107,2.28993651881531,0.001,0.0291606244059709,0.143
1,40,0.1,0.2,Jaccard,1.2808890345294,0.086,2.2696973417921,0.001,0.0290246871677128,0.14
1,40,0.1,2,UniFrac,2.5987985888274,0.001,2.315759737889,0.001,0.0319937178876896,0.086
1,40,0.1,2,GUniFrac,3.34048903359183,0.001,2.98057457598494,0.001,0.0347188854389872,0.08
1,40,0.1,2,weighted UniFrac,3.68795276719714,0.001,5.2562682385961,0.001,0.0373898567661415,0.101
1,40,0.1,2,GLaD,8.43161326099704,0.001,8.19961950249169,0.001,0.0706170067939151,0.008
1,40,0.1,2,Bray-Curtis,3.09622734681558,0.001,2.71954635621268,0.001,0.03320212230552,0.095
1,40,0.1,2,Aitchison,2.3163601176443,0.001,1.89196571277836,0.001,0.0311201862442962,0.091
1,40,0.1,2,Jaccard,2.18658307019847,0.001,2.00724587999383,0.001,0.030612524090965,0.094
1,40,0.15,0.2,UniFrac,1.16934837532606,0.206,3.30731070653451,0.001,0.0291254956629254,0.126
1,40,0.15,0.2,GUniFrac,1.24869619718111,0.193,4.50518585666602,0.001,0.0304896168452098,0.109
1,40,0.15,0.2,weighted UniFrac,1.43997687285755,0.154,7.72879135191419,0.001,0.0339363529695298,0.065
1,40,0.15,0.2,GLaD,3.34545550440895,0.05,55.9644248610548,0.001,0.0753541130653515,0.001
1,40,0.15,0.2,Bray-Curtis,1.22864384632307,0.204,4.25426105224529,0.001,0.0301009043337884,0.124
1,40,0.15,0.2,Aitchison,1.10490097229472,0.252,2.90215319737617,0.001,0.027721406941416,0.176
1,40,0.15,0.2,Jaccard,1.12878704764542,0.213,2.72416984879328,0.001,0.0284343538336797,0.141
1,40,0.15,2,UniFrac,2.95611551130004,0.001,2.58201402803224,0.001,0.0496850792282296,0.001
1,40,0.15,2,GUniFrac,3.96144772646718,0.001,3.50574618981782,0.001,0.0609021708877166,0.001
1,40,0.15,2,weighted UniFrac,4.34822185005033,0.001,4.75105904013627,0.001,0.0590850983019597,0.001
1,40,0.15,2,GLaD,12.6603840708346,0.001,15.4539790088977,0.001,0.104850618983868,0.005
1,40,0.15,2,Bray-Curtis,3.64703490084184,0.001,3.24439390322312,0.001,0.0578618686665535,0.001
1,40,0.15,2,Aitchison,2.67725320978895,0.001,2.23393549357566,0.001,0.04780338510228,0.001
1,40,0.15,2,Jaccard,2.44443346606701,0.001,2.20748596076628,0.001,0.0437965336561671,0.001
1,40,0.2,0.2,UniFrac,1.08609966214411,0.272,1.95521938331649,0.001,0.0274840333601581,0.259
1,40,0.2,0.2,GUniFrac,1.14243339122938,0.245,2.49276359029907,0.001,0.0284355201103036,0.234
1,40,0.2,0.2,weighted UniFrac,1.47359872567058,0.112,4.39710769909914,0.001,0.0355344316693971,0.072
1,40,0.2,0.2,GLaD,4.32044506791608,0.012,28.4287077713757,0.001,0.0996769236892758,0.001
1,40,0.2,0.2,Bray-Curtis,1.14965759053754,0.246,2.46823020177985,0.001,0.0286283609335873,0.227
1,40,0.2,0.2,Aitchison,1.03375837484945,0.341,1.67539252538379,0.001,0.0264993490222114,0.311
1,40,0.2,0.2,Jaccard,1.09190491420832,0.249,1.81162754665071,0.001,0.0278084294845606,0.225
1,40,0.2,2,UniFrac,4.74750308149069,0.001,3.53446881317003,0.001,0.0851440539187454,0.001
1,40,0.2,2,GUniFrac,6.60209872631098,0.001,4.81820681742532,0.001,0.11159327075974,0.001
1,40,0.2,2,weighted UniFrac,10.2537965978288,0.001,7.6773027428704,0.001,0.158229521374355,0.001
1,40,0.2,2,GLaD,36.9411234659901,0.001,35.3161524459647,0.001,0.486877638358478,0.001
1,40,0.2,2,Bray-Curtis,6.00535176623934,0.001,4.55515822724261,0.001,0.103677594601885,0.001
1,40,0.2,2,Aitchison,4.10191267624342,0.001,3.02242180092589,0.001,0.0756745435821451,0.001
1,40,0.2,2,Jaccard,3.67365057728372,0.001,2.88992196237901,0.001,0.0686791881020925,0.001
1,40,0.25,0.2,UniFrac,1.66501193629468,0.012,2.54936240828465,0.001,0.0413340375715898,0.005
1,40,0.25,0.2,GUniFrac,1.98149278383782,0.013,3.30544536436433,0.001,0.0485775076070113,0.002
1,40,0.25,0.2,weighted UniFrac,2.72872513267724,0.009,4.98938921730425,0.001,0.0658900377683821,0.001
1,40,0.25,0.2,GLaD,4.16036712370799,0.014,7.49441379261598,0.001,0.0991182755557733,0.008
1,40,0.25,0.2,Bray-Curtis,1.93860348232663,0.013,3.28348497152692,0.001,0.0475210020098336,0.004
1,40,0.25,0.2,Aitchison,1.5534194888025,0.018,2.23384421739007,0.001,0.0388775609882058,0.011
1,40,0.25,0.2,Jaccard,1.50546670288424,0.015,2.21070813328018,0.001,0.0376873648984754,0.007
1,40,0.25,2,UniFrac,4.8001424088064,0.001,3.95961563696461,0.001,0.112819529229701,0.001
1,40,0.25,2,GUniFrac,6.80957121190231,0.001,5.55504789798841,0.001,0.156481443081268,0.001
1,40,0.25,2,weighted UniFrac,10.9265810390907,0.001,8.72134346645369,0.001,0.234348424998613,0.001
1,40,0.25,2,GLaD,67.0064610904821,0.001,59.6492465985492,0.001,1.03621228410155,0.001
1,40,0.25,2,Bray-Curtis,6.30090191303928,0.001,5.33175533651954,0.001,0.14582993116507,0.001
1,40,0.25,2,Aitchison,4.29695088155295,0.001,3.48536707514108,0.001,0.10332922519686,0.001
1,40,0.25,2,Jaccard,3.83807755838632,0.001,3.27979654666543,0.001,0.0913329683497995,0.001
1,40,0.3,0.2,UniFrac,2.73520666859947,0.001,2.72855977560429,0.001,0.0602178566561985,0.001
1,40,0.3,0.2,GUniFrac,3.55956741544268,0.001,3.61350402694749,0.001,0.0757530536360945,0.001
1,40,0.3,0.2,weighted UniFrac,4.89086999169043,0.001,5.18594608868598,0.001,0.100443638815557,0.001
1,40,0.3,0.2,GLaD,6.10576825499862,0.005,6.6410896261258,0.001,0.122710352376368,0.004
1,40,0.3,0.2,Bray-Curtis,3.29547498812993,0.001,3.33654608722378,0.001,0.0703361155779301,0.001
1,40,0.3,0.2,Aitchison,2.35064696988579,0.001,2.27884544154925,0.001,0.053014189775491,0.001
1,40,0.3,0.2,Jaccard,2.24222889893871,0.001,2.23122774439044,0.001,0.0505472453644772,0.001
1,40,0.3,2,UniFrac,5.24466328307531,0.001,3.75039156600199,0.001,0.0728708085160023,0.001
1,40,0.3,2,GUniFrac,7.36112554680487,0.001,5.16962897878331,0.001,0.09401090709018,0.001
1,40,0.3,2,weighted UniFrac,11.7892627399112,0.001,8.5360738958411,0.001,0.139655652678125,0.001
1,40,0.3,2,GLaD,45.8714331646778,0.001,45.6237588398278,0.001,0.396223610138016,0.001
1,40,0.3,2,Bray-Curtis,6.60006506891803,0.001,4.76422792593489,0.001,0.0860387112217425,0.001
1,40,0.3,2,Aitchison,4.38916935299226,0.001,3.17965272908533,0.001,0.0638429154419975,0.001
1,40,0.3,2,Jaccard,3.95889720137331,0.001,2.9625741124103,0.001,0.0590020882621454,0.001
1,40,0.35,0.2,UniFrac,2.59955191089353,0.001,2.70626732360389,0.001,0.0570674705198062,0.001
1,40,0.35,0.2,GUniFrac,3.40861309172264,0.001,3.60861443333366,0.001,0.0727551338113258,0.001
1,40,0.35,0.2,weighted UniFrac,5.13124759618158,0.001,5.70876355633307,0.001,0.106691232600412,0.001
1,40,0.35,0.2,GLaD,11.9512914284618,0.001,18.8046982955682,0.001,0.238059090979181,0.001
1,40,0.35,0.2,Bray-Curtis,3.19556091270945,0.001,3.38881577588704,0.001,0.0686374874203987,0.001
1,40,0.35,0.2,Aitchison,2.36247972571848,0.001,2.37281821314802,0.001,0.0530042962274034,0.001
1,40,0.35,0.2,Jaccard,2.21795232122358,0.001,2.301944560815,0.001,0.0499424687623957,0.001
1,40,0.35,2,UniFrac,3.35405011548306,0.001,2.63744027219696,0.001,0.0747918278446531,0.001
1,40,0.35,2,GUniFrac,4.56841930605855,0.001,3.53517164551771,0.001,0.0991019693971658,0.001
1,40,0.35,2,weighted UniFrac,3.95581921495503,0.001,4.59179081402927,0.001,0.0715988022469433,0.005
1,40,0.35,2,GLaD,25.8861440752812,0.001,17.0304873982923,0.001,0.455943590514374,0.001
1,40,0.35,2,Bray-Curtis,4.05347263981714,0.001,3.26902997000597,0.001,0.0889304439608744,0.001
1,40,0.35,2,Aitchison,2.87932664619524,0.001,2.15889881460512,0.001,0.0677447120087737,0.001
1,40,0.35,2,Jaccard,2.68086695087013,0.001,2.26313382278316,0.001,0.0611143182913379,0.001
1,40,0.4,0.2,UniFrac,1.94368046549801,0.002,2.06412931294585,0.001,0.0544215244880828,0.001
1,40,0.4,0.2,GUniFrac,2.42048021616785,0.002,2.6960255127704,0.001,0.0686924323121198,0.001
1,40,0.4,0.2,weighted UniFrac,2.95618710125506,0.002,5.02437439570139,0.001,0.0863574576175096,0.001
1,40,0.4,0.2,GLaD,12.3922579410117,0.002,45.3542691677768,0.001,0.377634133137063,0.001
1,40,0.4,0.2,Bray-Curtis,2.36010989855146,0.002,2.65840775765276,0.001,0.0670824586193451,0.001
1,40,0.4,0.2,Aitchison,1.74545841779566,0.003,1.7521639133513,0.001,0.0482167964090056,0.003
1,40,0.4,0.2,Jaccard,1.74232085170628,0.002,1.892222825047,0.001,0.0485970827904178,0.001
1,40,0.4,2,UniFrac,4.06447657894522,0.001,3.04018803568173,0.001,0.0892673040443387,0.001
1,40,0.4,2,GUniFrac,5.60265026840889,0.001,4.12061853294936,0.001,0.119168973994999,0.001
1,40,0.4,2,weighted UniFrac,6.55765474781047,0.001,5.46908024648547,0.001,0.13058457522203,0.001
1,40,0.4,2,GLaD,14.9725456429738,0.001,9.97152073173349,0.001,0.290193526556079,0.001
1,40,0.4,2,Bray-Curtis,5.02672574816093,0.001,3.85527473854055,0.001,0.107356699983516,0.001
1,40,0.4,2,Aitchison,3.54995866003472,0.001,2.53156091642538,0.001,0.0793932115631496,0.001
1,40,0.4,2,Jaccard,3.18282102241748,0.001,2.56074886034138,0.001,0.0705676166286314,0.001
1,40,0.45,0.2,UniFrac,2.16445326358971,0.001,2.0546516574898,0.001,0.0559178146315751,0.001
1,40,0.45,0.2,GUniFrac,2.80199221248953,0.001,2.67198831673886,0.001,0.0714093192843129,0.001
1,40,0.45,0.2,weighted UniFrac,3.31253825427158,0.001,4.22275143184425,0.001,0.0757736466328284,0.042
1,40,0.45,0.2,GLaD,4.01317284905758,0.021,6.58706493528762,0.001,0.103605247643817,0.012
1,40,0.45,0.2,Bray-Curtis,2.62325161881806,0.001,2.57927713302802,0.001,0.0672230687042653,0.001
1,40,0.45,0.2,Aitchison,1.86576100554417,0.004,1.69423660304596,0.001,0.0488790107154633,0.002
1,40,0.45,0.2,Jaccard,1.91666625938806,0.001,1.88208206385412,0.001,0.0494424516040425,0.001
1,40,0.45,2,UniFrac,4.39131505327996,0.001,3.20108795023221,0.001,0.0751606834517062,0.001
1,40,0.45,2,GUniFrac,6.38712718542546,0.001,4.69452968534405,0.001,0.0996402778400896,0.001
1,40,0.45,2,weighted UniFrac,3.99192539058201,0.001,6.15430751661049,0.001,0.0471077120781376,0.049
1,40,0.45,2,GLaD,21.3150538614531,0.001,14.495882124384,0.001,0.224237734134204,0.001
1,40,0.45,2,Bray-Curtis,5.24739546402253,0.001,3.89842595138258,0.001,0.0858236975570538,0.001
1,40,0.45,2,Aitchison,3.65477027206126,0.001,2.56496186701721,0.001,0.0652137317780129,0.001
1,40,0.45,2,Jaccard,3.30799343152619,0.001,2.5647967960846,0.001,0.0591184604135478,0.001
1,40,0.5,0.2,UniFrac,2.82954388678567,0.001,2.38529387527795,0.001,0.0758984025644327,0.001
1,40,0.5,0.2,GUniFrac,3.80611734567652,0.001,3.01286642960703,0.001,0.102256271899333,0.001
1,40,0.5,0.2,weighted UniFrac,2.19201915155282,0.001,3.67734523379492,0.008,0.0618113799128833,0.004
1,40,0.5,0.2,GLaD,8.46011764985625,0.001,7.79037539969597,0.001,0.230744046348063,0.001
1,40,0.5,0.2,Bray-Curtis,3.23566072241685,0.001,2.77571402415541,0.001,0.0869654221252727,0.001
1,40,0.5,0.2,Aitchison,2.40059949722042,0.001,1.80683893647317,0.001,0.0637276149643241,0.001
1,40,0.5,0.2,Jaccard,2.22564643292273,0.001,2.00281513470357,0.001,0.0595944511576054,0.001
1,40,0.5,2,UniFrac,4.07606272950403,0.001,3.14322905092879,0.001,0.0960465350301748,0.001
1,40,0.5,2,GUniFrac,5.75704333002069,0.001,4.39431035230754,0.001,0.13183105802838,0.001
1,40,0.5,2,weighted UniFrac,6.27755321732486,0.001,6.27790007397568,0.001,0.125349542871354,0.001
1,40,0.5,2,GLaD,28.9686633798027,0.001,26.0568561781906,0.001,0.57087613539529,0.001
1,40,0.5,2,Bray-Curtis,4.9199108582074,0.001,3.97621622940782,0.001,0.114864491131527,0.001
1,40,0.5,2,Aitchison,3.40216470395988,0.001,2.56972371145204,0.001,0.0824424876035133,0.001
